name;volume;marketshare
Binance;23287571727;0.075026427
Coinbase Pro;5525455532;0.017801563
Kraken;2181937712;0.007029629
Bitfinex;2934950776;0.009455639
Bithumb;2397875074;0.007725322
Huobi Global;10487814120;0.033788977
Bitstamp;1913338763;0.006164274
KuCoin;668546240;0.00215388
Binance.US;419410201;0.001351229
Coinone;641335900;0.002066215
bitFlyer;704555118;0.002269891
FTX;684766002;0.002206136
Bittrex;305557631;0.000984426
Poloniex;354110414;0.001140851
Gemini;336072654;0.001082738
OKEx;5499363020;0.0177175
Liquid;718663295;0.002315344
Coincheck;386290379;0.001244526
Zaif;86651339;0.000279168
Korbit;75913021;0.000244572
Gate.io;612067080;0.001971919
BitMax;569676967;0.001835349
itBit;97690881;0.000314734
eToroX;620501446;0.001999092
Crypto.com Exchange;308199933;0.000992939
Coinlist Pro;6896504;2.22187E-05
Huobi Korea;145132488;0.000467579
Luno;89656971;0.000288851
ProBit Exchange;160174936;0.000516041
EXMO;109673561;0.000353339
Upbit;3534212380;0.011386302
OKCoin;109972070;0.000354301
Bithumb Global;234755707;0.000756321
CoinDCX;24599547;7.92533E-05
Currency.com;43029856;0.000138631
WazirX;56215237;0.000181111
Indodax;68882066;0.00022192
Binance.KR;20232069852;0.065182404
BtcTurk | Pro;729580215;0.002350515
Bitbank;600140215;0.001933494
OKEx Korea;9945804;3.20428E-05
AAX;381397586;0.001228763
Bitvavo;205489122;0.000662032
NovaDAX;231092045;0.000744518
Paribu;234864649;0.000756672
CoinEx;143493893;0.0004623
Coinbit;1398943515;0.004507028
StormGain;104373790;0.000336265
Coinfloor;9018055;2.90538E-05
BitWell;580161949;0.001869129
Bitkub;122936834;0.00039607
CoinFLEX;28128995;9.06242E-05
B2BX;49074003;0.000158104
Coinsbit;3380836096;0.010892164
Huobi Indonesia;864036;2.7837E-06
CEX.IO;79815805;0.000257146
GOPAX;78406621;0.000252605
XT;412074701;0.001327596
ZebPay;46823343;0.000150852
Bitso;41227820;0.000132825
Thodex;252838570;0.000814579
DigiFinex;2379505315;0.00766614
HitBTC;4510790655;0.01453258
BTC Markets;57963829;0.000186744
Bitbns;39286756;0.000126572
Alterdice;91580970;0.00029505
Felixo;26708288;8.60471E-05
CoinZoom;18630581;6.00228E-05
Rekeningku.com;15116653;4.87019E-05
Mercado Bitcoin;26276370;8.46555E-05
MAX Exchange;31663134;0.00010201
Coindeal;43942413;0.000141571
Bitrue;1065414313;0.003432484
Bitfront;1332958356;0.004294441
MXC.COM;1330053480;0.004285082
Bitpanda Pro;14946603;4.8154E-05
ExMarkets;253561821;0.000816909
Independent Reserve;36129080;0.000116398
Paritex;192638772;0.000620631
IndoEx;1406879774;0.004532596
FOBLGATE;55388782;0.000178448
Hoo;578242861;0.001862946
WhiteBIT;410396996;0.001322191
Dex-Trade;32974053;0.000106234
LBank;4788067815;0.015425894
Coineal;3363714601;0.010837003
VinDAX;357426483;0.001151534
Zipmex;7774554;2.50476E-05
CoinJar;52054237;0.000167705
Coinzo;18837168;6.06884E-05
BW.com;809068343;0.002606605
Hotbit;399294580;0.001286422
Cryptology;9888714;3.18588E-05
CoinMetro;4976684;1.60336E-05
TimeX;35791888;0.000115312
BitForex;597372108;0.001924576
The Rock Trading;9141441;2.94513E-05
Bilaxy;259541640;0.000836175
BigONE;364390591;0.001173971
CoinTiger;183445984;0.000591015
ZB.COM;4171777009;0.013440367
Decoin;103961399;0.000334936
Bitsonic;18585778;5.98785E-05
BKEX;1379848944;0.00444551
BITEXLIVE;5685170;1.83161E-05
Finexbox;84564656;0.000272445
Bitbuy;10789792;3.47619E-05
P2PB2B;1178934174;0.003798216
Bitci;12114073;3.90284E-05
PayBito;435861229;0.00140423
50x;206327;6.64731E-07
BitcoinTrade;5677114;1.82902E-05
Beaxy;3544094;1.14181E-05
Nominex;52851447;0.000170273
Globitex;5213238;1.67957E-05
COREDAX;11025154;3.55201E-05
CryptoMarket;2834047;9.13055E-06
Folgory;671776139;0.002164286
Kuna;5284243;1.70244E-05
Bitcoin.com Exchange;4091317098;0.013181147
GDAC;5092624;1.64071E-05
CoinMate;927624;2.98856E-06
Cat.Ex;232195963;0.000748074
BTC-Alpha;982015259;0.003163795
Crex24;4518129;1.45562E-05
NiceHash;990271;3.19039E-06
ATOMARS;107644449;0.000346802
ChainX;62997215;0.00020296
Virtuse Exchange;14860680;4.78772E-05
Lykke Exchange;3669293;1.18215E-05
OceanEx;132745241;0.00042767
Bibox;681072651;0.002194237
BitMart;386324228;0.001244635
CoinEgg;222421316;0.000716583
BitBay;92182564;0.000296988
Tokens.net;7154386;2.30495E-05
CoinBene;6094733991;0.019635629
ZBG;955801954;0.003079342
Cryptonex;475967760;0.001533443
KickEX;5318203;1.71339E-05
Tokenize Xchange;45896146;0.000147865
Bitvast;258091234;0.000831502
VELIC;1735741;5.5921E-06
CoinField;70222255;0.000226238
Hanbitco;2169550;6.98972E-06
BTCBOX;21518357;6.93265E-05
Dcoin;973309546;0.003135747
Prizmbit;1915294;6.17057E-06
Exrates;64650764;0.000208288
CROSS exchange;1439780;4.63859E-06
Coinut;503696;1.62278E-06
Narkasa;756028;2.43572E-06
TOKOK;146455014;0.00047184
Coinsuper;90072641;0.00029019
BitUBU;66275580;0.000213522
STEX;48110089;0.000154998
Coinall;3529122;1.13699E-05
Giottus;1474701;4.7511E-06
EXIR;1229882;3.96236E-06
Dove Wallet;1084610;3.49433E-06
BBX;189309298;0.000609905
TradeOgre;739201;2.38151E-06
YoBit;18735;6.03592E-08
BTSE;43987815;0.000141717
Koinim;1084817;3.49499E-06
Bitsten;1359826;4.381E-06
Satang Pro;1273383;4.1025E-06
Bitget;1032809983;0.003327442
Bitex.la;1361961;4.38788E-06
LATOKEN;8517918;2.74425E-05
HBTC;9949715042;0.032055363
C2CX;43364111;0.000139708
Bitribe;6701338384;0.021589948
Bithumb Singapore;83025;2.67485E-07
Waves Exchange;9964905;3.21043E-05
BitZ;8601557136;0.027711953
qTrade;678884;2.18719E-06
Braziliex;738604;2.37959E-06
COSS;10301875;3.31899E-05
digitalexchange.id;389247;1.25405E-06
Mercatox;27340111;8.80826E-05
BTC-exchange;45801;1.47559E-07
BTC Trade UA;606011;1.95241E-06
Mexo Exchange;8485511649;0.027338085
Changelly PRO;4280880150;0.013791869
SouthXchange;195728;6.30584E-07
VINEX Network;771629;2.48599E-06
Paymium;988342;3.18418E-06
CoinHe;41216045;0.000132787
CoinFalcon;232874;7.50259E-07
DragonEX;634946319;0.00204563
ATAIX;33466571;0.00010782
Triv Pro;79655482;0.000256629
Omgfin;1066261122;0.003435213
Bidesk;8399813155;0.027061987
NAGAX;114751;3.69698E-07
iCE3;463719;1.49398E-06
BiONE;2490977812;0.008025275
BITEXBOOK;113586;3.65944E-07
Tokenomy;745238;2.40096E-06
Graviex;151152;4.86972E-07
Sistemkoin;940295022;0.003029383
LakeBTC;14;4.51043E-11
Tidex;4644365;1.49629E-05
ZG.com;8217420412;0.026474366
Coingi;8921;2.87411E-08
BitClude;93121;3.00011E-07
Chiliz;22834959;7.35682E-05
BitAsset;1835590824;0.00591379
StakeCube;42066;1.35526E-07
CITEX;7329540055;0.023613849
CRXzone;27526;8.86815E-08
SatoExchange;128895;4.15266E-07
Bitsdaq;62820628;0.000202392
Polyx;3238769;1.04345E-05
Artis Turba;39897;1.28538E-07
ABCC;12845333;4.13843E-05
HCoin;481725713;0.001551993
Txbit;36016;1.16034E-07
CoinsBank;267511364;0.000861851
WBF Exchange;8720875669;0.028096366
RuDEX;10963;3.53199E-08
Simex;13116494;4.22579E-05
Namebase;3314;1.06768E-08
EXX;1261148611;0.004063089
Ecxx;2434132496;0.007842134
BiKi;1104465723;0.003558298
Bgogo;5537718;1.78411E-05
AidosMarket;6862;2.21076E-08
C-Patex;10793;3.47722E-08
Xcalibra;3414;1.0999E-08
RightBTC;6357606494;0.020482535
Bleutrade;26411;8.50893E-08
FreiExchange;51459;1.65787E-07
BITStorage;5080212;1.63671E-05
SecondBTC;8625;2.77875E-08
BitRabbit;26092;8.40616E-08
LocalTrade;364555123;0.001174501
Lukki Exchange;19596745;6.31356E-05
FT Exchange;60;1.93304E-10
LOEx;446067771;0.001437113
Kryptono;56243956;0.000181203
Exnomy;466003;1.50134E-06
OTCBTC;713;2.2971E-09
Hubi;831727;2.67961E-06
Bittylicious;304563;9.81222E-07
Bitonic;4874462;1.57042E-05
LiteBit.eu;19834704;6.39022E-05
CoinCorner;599864;1.9326E-06
ISX;193;6.21795E-10
Cryptomate;2197;7.07816E-09
Heat Wallet;13;4.18826E-11
RippleFox;412064;1.32756E-06
Gatehub;633916;2.04231E-06
Ripple China;1693;5.4544E-09
Buda;6752169;2.17537E-05
Altcoin Trader;8103386;2.6107E-05
Bitstamp (Ripple Gateway);192567;6.204E-07
Bits Blockchain;7854878;2.53063E-05
Tidebit;3101143;9.99107E-06
InfinityCoin Exchange;373;1.20171E-09
TOPBTC;664166907;0.002139771
Vebitcoin;63783042;0.000205492
Bithesap;15321611;4.93622E-05
IDCM;1554573470;0.005008427
Cashierest;9544627;3.07503E-05
CryptalDash;0;0
YunEx;24615773;7.93055E-05
Xena Exchange;4353265;1.40251E-05
EtherFlyer;24911470046;0.0802582
CBX;296245576;0.000954425
Oasis Exchange;306472304;0.000987373
BankCEX;21026414;6.77416E-05
Einax;77062;2.48273E-07
UPEX;2651996722;0.008544035
BQT;2714458;8.74527E-06
BitoPro;35667345;0.000114911
Emirex;156404696;0.000503895
VCC Exchange;8998279322;0.028990088
Hydax Exchange;8879570992;0.028607641
Crypterum;551685;1.77738E-06
Bitay;188357703;0.000606839
VALR;15698858;5.05776E-05
Huobi Thailand;501;1.61409E-09
Biconomy;999722548;0.003220843
Hotcoin Global;1275347114;0.004108833
Phemex;165936064;0.000534602
FarhadMarket;323354713;0.001041764
GokuMarket;7461992;2.40406E-05
CoinCasso;1191657;3.83921E-06
CrossTower;838987;2.703E-06
Azbit;4838540;1.55885E-05
Xtheta Global;8559179353;0.027575423
LongBit;529786814;0.001706834
SINEGY Marketplace;14863;4.78847E-08
BSCswap;10351;3.33482E-08
Dsdaq;9296115898;0.029949639
FTX US;36327220;0.000117037
ACDX;189231;6.09652E-07
JulSwap;253627;8.17119E-07
Serum Swap;807819;2.60258E-06
BEPSwap;8881913;2.86152E-05
Uniswap (V2);1136412639;0.003661222
Sushiswap;542766794;0.001748652
Curve Finance;149361931;0.000481205
1inch Exchange;125224983;0.000403442
0x Protocol;114068080;0.000367497
Balancer;104697165;0.000337307
Tokenlon;93789996;0.000302167
Venus;84984174;0.000273797
Synthetix Exchange;84669632;0.000272783
dYdX;56231213;0.000181162
BurgerSwap;38648617;0.000124516
PancakeSwap;35091811;0.000113057
Compound;32594501;0.000105011
Kyber Network;32351934;0.000104229
DODO;23682960;7.63003E-05
JustSwap;21040865;6.77881E-05
Serum DEX;15321965;4.93633E-05
Bancor Network;7523041;2.42373E-05
Radar Relay;5987084;1.92888E-05
Bisq;5015728;1.61594E-05
Nash Exchange;4943744;1.59274E-05
Bamboo Relay;4450238;1.43375E-05
Gnosis Protocol;2779836;8.9559E-06
Mooniswap;1211542;3.90327E-06
Oasis;999817;3.22115E-06
Binance DEX;804309;2.59127E-06
Cybex DEX;652861;2.10335E-06
ViteX;638307;2.05646E-06
Anyswap;547675;1.76446E-06
DeversiFi;458792;1.47811E-06
PoloniDEX;283118;9.12132E-07
IDEX;21333;6.87293E-08
Switcheo Network;182744;5.88753E-07
Newdex;137579;4.43243E-07
DDEX;123087;3.96554E-07
TronTrade;120763;3.89067E-07
SashimiSwap;71875;2.31562E-07
Stellarterm;65941;2.12445E-07
TokenSets;37182;1.19791E-07
TomoDEX;33831;1.08995E-07
dex.blue;24264;7.81722E-08
Birake Network;17298;5.57296E-08
Allbit;10179;3.27941E-08
Loopring Exchange;3209;1.03386E-08
Uniswap;122;3.93052E-10
Nexus Mutual;101;3.25395E-10
